#,I confirm that I have read and fully understand the purpose and nature of the study and agree to participate in it.,What is your gender? ,Age,residency,Educational level ,marital status,What is your source of information about osteoarthritis?,Do you know someone diagnosed with osteoarthritis? ,Do you think that knee osteoarthritis is a chronic problem? ,Do you think that knee osteoarthritis is rare? ,Do you think that all types of joints may suffer from osteoarthritis? ,Do you think that knee osteoarthritis is the result of a cold or moist atmosphere? ,What do you think is the underlying mechanism of osteoarthritis? You can choose more than one option,Do you think that genetics is a risk factor for osteoarthritis?,Do you think that advancing age is a risk factor for osteoarthritis?,Do you think that high BMI is a risk factor for knee osteoarthritis? ,Do you think that the incidence of knee osteoarthritis is equal between males and females?,Do you think that being active makes osteoarthritis feel better? ,Do you think that previous knee injury is a risk factor for osteoarthritis? ,Do you think that pain is the only symptom of knee osteoarthritis?,Do you think joint stiffness is a sign of knee osteoarthritis?,Do you think knee redness is a sign of knee osteoarthritis? ,Do you think locking of the knee is a sign of knee osteoarthritis?,Do you think increased joint warmth is a sign of knee osteoarthritis? ,Do you think that osteoarthritis may lead to loss of joint movement?,Do you think weakness of the muscle is a sign of knee osteoarthritis? ,Do you think numbness is a sign of knee osteoarthritis?,Do you think that analgesics may improve symptoms?,Do you think that hot or cold packs to the knee may improve symptoms? ,"Do you think that some types of exercises, such as swimming, are suitable for osteoarthritis patients?",Do you think that physiotherapy can improve the symptoms of osteoarthritis? ,Do you think that steroid injections in the joint help to relieve severe symptoms temporarily? ,Do you think that joint replacement surgery will be needed at some point for osteoarthritis? 
1,Yes,female,23,Salfeet ,university,single,study,no,Yes,no,Yes,no,"infection, decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Yes,female,35,Salfeet ,Postgraduate studies (Masters/PhD),Married,friends/relatives ,Yes,Yes,no,no,no,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,Yes,Yes,no,no,no,Yes,no,Yes,Yes,no,Not sure,Not sure,Yes,Yes,Not sure,Yes
3,Yes,female,50,Salfeet ,university,Married,friends/relatives ,no,Yes,no,no,Not sure,cartilage at the end of the bones wearing down over time,Not sure,Yes,Not sure,no,Yes,Not sure,no,Not sure,no,no,Not sure,Not sure,no,no,Yes,Yes,Yes,Not sure,Not sure,Yes
4,Yes,female,42,Salfeet ,university,Married,Personal history,Yes,no,no,Yes,Yes,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",no,Yes,Yes,no,Yes,no,Yes,Yes,no,no,no,Yes,Yes,Yes,Yes,Yes,no,Yes,Yes,Yes
5,Yes,female,48,Salfeet ,university,Married,friends/relatives ,Yes,Yes,no,no,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Not sure,Yes,Not sure,no,Not sure,no,Yes,Not sure,Yes,Yes,Not sure,Yes,no,Yes,Yes,Not sure,Yes
6,Yes,female,48,Salfeet ,university,Married,others,no,Not sure,Not sure,Not sure,Not sure,"nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Not sure,Yes,Not sure,Not sure,Yes,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
7,Yes,male,20,Salfeet ,university,single,friends/relatives ,no,no,no,Yes,Yes,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,Yes,Yes,Yes,no,Yes,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,Yes,female,47,Salfeet ,university,Married,Personal history,Yes,Yes,no,Not sure,no,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Not sure,Yes,Yes,no,Yes,Not sure,no,no,no,no,Not sure,no,Not sure,Not sure,no,Not sure,Not sure,Not sure,Not sure,Not sure
9,Yes,female,47,Salfeet ,university,Married,Personal history,Yes,no,no,Yes,Yes,"cartilage at the end of the bones wearing down over time, crystal accumulation in the joint",Yes,Yes,Yes,no,no,no,no,Yes,Yes,Yes,Yes,Yes,no,no,no,Yes,Yes,Yes,Yes,Yes
10,Yes,female,55,Salfeet ,university,Married,Personal history,Yes,no,no,Yes,Yes,"decreased blood supply to the joint, nerve compression near the joint , cartilage at the end of the bones wearing down over time",Yes,Yes,Yes,Yes,Yes,Yes,no,no,no,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no
